texto,groseria
i_mb_3c1les_789,1
I_MB_3C1LES_789,1
i-m-b_3c1les,1
I-M-B_3C1LES,1
i.m-b.3c1les,1
I.M-B.3C1LES,1
1.m.b-3c1les,1
1.M.B-3C1LES,1
1mb-3c1les,1
1MB-3C1LES,1
i m b e c i l e s,1
I M B E C I L E S,1
i-m-b-e-c-i-l-e-s,1
I-M-B-E-C-I-L-E-S,1
i.m.b.e.c.i.l.e.s,1
I.M.B.E.C.I.L.E.S,1
i_m_b_e_c_i_l_e_s,1
I_M_B_E_C_I_L_E_S,1
IDIOOTA,1
IDIOTAS,1
IDIOTA,1
IDIOOTAS,1
IDIOOTA,1
Idiota,1
Idiotas,1
Idioota,1
Idiootas,1
idiota,1
idiotas,1
idiootas,1
idi*ta,1
IDI*TA,1
idi@ta,1
IDI@TA,1
idi!ta,1
IDI!TA,1
1diota,1
1DIOTA,1
1d10ta,1
1D10TA,1
i d i o t a,1
I D I O T A,1
i-d-i-o-t-a,1
I-D-I-O-T-A,1
i.d.i.o.t.a,1
I.D.I.O.T.A,1
i_d_i_o_t_a,1
I_D_I_O_T_A,1
idi*t@s,1
IDI*T@S,1
idi@t@s,1
IDI@T@S,1
idi!t@s,1
IDI!T@S,1
i-d-i-o-t-a-s,1
I-D-I-O-T-A-S,1
i.d.i.o.t.a.s,1
I.D.I.O.T.A.S,1
i_d_i_o_t_a_s,1
I_D_I_O_T_A_S,1
1d10t@s,1
1D10T@S,1
idi*t@s123,1
IDI*T@S123,1
idi@t@s456,1
IDI@T@S456,1
idi!t@s789,1
IDI!T@S789,1
1d10t@s_123,1
1D10T@S_123,1
I_D_I-O_T_A_S,1
JODIDA,1
Jodida,1
JODIDAS,1
jodida,1
Jodidas,1
jodidas,1
j*dida,1
J*DIDA,1
j@dida,1
J@DIDA,1
j!dida,1
J!DIDA,1
j*did@,1
J*DID@,1
j@did@,1
J@DID@,1
j!did@,1
J!DID@,1
j0dida,1
J0DIDA,1
j0did@,1
J0DID@,1
J*DIDA,1
j@dida,1
J@DIDA,1
j!dida,1
J!DIDA,1
j*did@,1
J*DID@,1
j@did@,1
J@DID@,1
j!did@,1
J!DID@,1
j0dida,1
J0DIDA,1
j0did@,1
J0DID@,1
j o d i d a,1
J O D I D A,1
j-o-d-i-d-a,1
J-O-D-I-D-A,1
j.o.d.i.d.a,1
J.O.D.I.D.A,1
j_o_d_i_d_a,1
J_O_D_I_D_A,1
j*d1da,1
J*D1DA,1
j@d1da,1
J@D1DA,1
j!d1da,1
J!D1DA,1
j0d1da,1
J0D1DA,1
j0dida123,1
J0DIDA123,1
j-d1d-a,1
J-D1D-A,1
j.o.d-ida,1
J.O.D-IDA,1
j_o_d1d_a,1
J_O_D1D_A,1
j*did@s,1
J*DID@S,1
j@did@s,1
J@DID@S,1
j!did@s,1
J!DID@S,1
j0didas,1
J0DIDAS,1
j0d1d@s,1
J0D1D@S,1
j0d1das,1
J0D1DAS,1
j o d i d a s,1
J O D I D A S,1
j-o-d-i-d-a-s,1
J-O-D-I-D-A-S,1
j.o.d.i.d.a.s,1
J.O.D.I.D.A.S,1
j_o_d_i_d_a_s,1
J_O_D_I_D_A_S,1
jodid4,1
JODID4,1
jodid2,1
JODID2,1
j0did4,1
J0DID4,1
j0did2,1
J0DID2,1
j0d1d4,1
J0D1D4,1
j0d1d2,1
J0D1D2,1
JODIDO,1
Jodido,1
jodido,1
j*dido,1
J*DIDO,1
j@dido,1
J@DIDO,1
j!dido,1
J!DIDO,1
j*did0,1
J*DID0,1
j@did0,1
J@DID0,1
j!did0,1
J!DID0,1
j0dido,1
J0DIDO,1
j0did0,1
J0DID0,1
j0d1do,1
J0D1DO,1
j o d i d o,1
J O D I D O,1
j-o-d-i-d-o,1
J-O-D-I-D-O,1
j.o.d.i.d.o,1
J.O.D.I.D.O,1
j_o_d_i_d_o,1
J_O_D_I_D_O,1
j*d1do,1
J*D1DO,1
j@d1do,1
J@D1DO,1
j!d1do,1
J!D1DO,1
j0d1do,1
J0D1DO,1
j0dido123,1
J0DIDO123,1
j-d1d-o,1
J-D1D-O,1
j.o.d-ido,1
J.O.D-IDO,1
j_o_d1d_o,1
J_O_D1D_O,1
JODIDOS,1
Jodidos,1
jodidos,1
j*didos,1
J*DIDOS,1
j@didos,1
J@DIDOS,1
j!didos,1
J!DIDOS,1
j*did0s,1
J*DID0S,1
j@did0s,1
J@DID0S,1
j!did0s,1
J!DID0S,1
j0didos,1
J0DIDOS,1
j0did0s,1
J0DID0S,1
j0d1d0s,1
J0D1D0S,1
j o d i d o s,1
J O D I D O S,1
j-o-d-i-d-o-s,1
J-O-D-I-D-O-S,1
j.o.d.i.d.o.s,1
J.O.D.I.D.O.S,1
j_o_d_i_d_o_s,1
J_O_D_I_D_O_S,1
j*d1d0s,1
J*D1D0S,1
j@d1d0s,1
J@D1D0S,1
j!d1d0s,1
J!D1D0S,1
j0d1d0s,1
J0D1D0S,1
j0didos123,1
J0DIDOS123,1
j-d1d-o-s,1
J-D1D-O-S,1
j.o.d-idos,1
J.O.D-IDOS,1
j_o_d1d_o_s,1
J_O_D1D_O_S,1
jodid4,1
JODID4,1
jodid2,1
JODID2,1
j0did4,1
J0DID4,1
j0did2,1
J0DID2,1
j0d1d4,1
J0D1D4,1
j0d1d2,1
J0D1D2,1
jodid4s,1
JODID4S,1
jodid2s,1
JODID2S,1
j0did4s,1
J0DID4S,1
j0did2s,1
J0DID2S,1
j0d1d4s,1
J0D1D4S,1
j0d1d2s,1
J0D1D2S,1
MALDITA,1
MALDITAS,1
Maldita,1
Malditas,1
maldita,1
malditas,1
m*ldita,1
M*LDITA,1
m@ldita,1
M@LDITA,1
m!ldita,1
M!LDITA,1
m4ldita,1
M4LDITA,1
m41dita,1
M41DITA,1
m4ld1ta,1
M4LD1TA,1
m a l d i t a,1
M A L D I T A,1
m-a-l-d-i-t-a,1
M-A-L-D-I-T-A,1
m.a.l.d.i.t.a,1
M.A.L.D.I.T.A,1
m_a_l_d_i_t_a,1
M_A_L_D_I_T_A,1
m4ld1t4,1
M4LD1T4,1
m4ld1t@,1
M4LD1T@,1
m@ld1t4,1
M@LD1T4,1
m@ld1t@,1
M@LD1T@,1
m@ldit4,1
M@LDIT4,1
m@ld1ta,1
M@LD1TA,1
m@ldit@,1
M@LDIT@,1
m4l_dit4,1
M4L_DIT4,1
m4l-d1t4,1
M4L-D1T4,1
m4l.d1t4,1
M4L.D1T4,1
m4l_d1t@,1
M4L_D1T@,1
m@l.dit@,1
M@L.DIT@,1
m4ld1t@123,1
M4LD1T@123,1
m@ld1t@456,1
M@LD1T@456,1
m!ldit@789,1
M!LDIT@789,1
m*lditas,1
M*LDITAS,1
m@lditas,1
M@LDITAS,1
m!lditas,1
M!LDITAS,1
m4lditas,1
M4LDITAS,1
m41ditas,1
M41DITAS,1
m4ld1tas,1
M4LD1TAS,1
m a l d i t a s,1
M A L D I T A S,1
m-a-l-d-i-t-a-s,1
M-A-L-D-I-T-A-S,1
m.a.l.d.i.t.a.s,1
M.A.L.D.I.T.A.S,1
m_a_l_d_i_t_a_s,1
M_A_L_D_I_T_A_S,1
m@l.dit@s,1
M@L.DIT@S,1
m4l_dit4s,1
M4L_DIT4S,1
m4l-d1t4s,1
M4L-D1T4S,1
m4l.d1t4s,1
M4L.D1T4S,1
MALDITO,1
Maldito,1
maldito,1
m*ldito,1
M*LDITO,1
m@ldito,1
M@LDITO,1
m!ldito,1
M!LDITO,1
m4ldito,1
M4LDITO,1
m4ld1to,1
M4LD1TO,1
m41dito,1
M41DITO,1
m a l d i t o,1
M A L D I T O,1
m-a-l-d-i-t-o,1
M-A-L-D-I-T-O,1
m.a.l.d.i.t.o,1
M.A.L.D.I.T.O,1
m_a_l_d_i_t_o,1
M_A_L_D_I_T_O,1
m4ld1t0,1
M4LD1T0,1
m@ld1t0,1
M@LD1T0,1
m@ld1to,1
M@LD1TO,1
m@ld1t0,1
M@LD1T0,1
m4ld1t0,1
M4LD1T0,1
m4ldit0,1
M4LDIT0,1
m4ld1t0,1
M4LD1T0,1
m4l_d1t0,1
M4L_D1T0,1
m4l-d1t0,1
M4L-D1T0,1
m4l.d1t0,1
M4L.D1T0,1
m4l_d1t0,1
M4L_D1T0,1
m@l.dit0,1
M@L.DIT0,1
m4ld1t0_123,1
M4LD1T0_123,1
m@ld1t0_456,1
M@LD1T0_456,1
m!ldit0_789,1
M!LDIT0_789,1
MALDITOS,1
Malditos,1
malditos,1
m*lditos,1
M*LDITOS,1
m@lditos,1
M@LDITOS,1
m!lditos,1
M!LDITOS,1
m4lditos,1
M4LDITOS,1
m4ld1tos,1
M4LD1TOS,1
m41ditos,1
M41DITOS,1
m a l d i t o s,1
M A L D I T O S,1
m-a-l-d-i-t-o-s,1
M-A-L-D-I-T-O-S,1
m.a.l.d.i.t.o.s,1
M.A.L.D.I.T.O.S,1
m_a_l_d_i_t_o_s,1
M_A_L_D_I_T_O_S,1
BASTARDO,1
Bastardo,1
bastardo,1
b*stardo,1
B*STARDO,1
b@stardo,1
B@STARDO,1
b!stardo,1
B!STARDO,1
b4stardo,1
B4STARDO,1
b4st4rdo,1
B4ST4RDO,1
b4stard0,1
B4STARD0,1
b4st4rd0,1
B4ST4RD0,1
b a s t a r d o,1
B A S T A R D O,1
b-a-s-t-a-r-d-o,1
B-A-S-T-A-R-D-O,1
b.a.s.t.a.r.d.o,1
B.A.S.T.A.R.D.O,1
b_a_s_t_a_r_d_o,1
B_A_S_T_A_R_D_O,1
b4st4rdo123,1
B4ST4RDO123,1
b-a-s-t4r-d-o,1
B-A-S-T4R-D-O,1
b.a.s.t-4r.d.o,1
B.A.S.T-4R.D.O,1
b_a_s_t-4r_d_o,1
B_A_S_T-4R_D_O,1
b!st4rd0,1
B!ST4RD0,1
BASTARDOS,1
Bastardos,1
bastardos,1
b*stardos,1
B*STARDOS,1
b@stardos,1
B@STARDOS,1
b!stardos,1
B!STARDOS,1
b4stardos,1
B4STARDOS,1
b4st4rdos,1
B4ST4RDOS,1
b4stard0s,1
B4STARD0S,1
b4st4rd0s,1
B4ST4RD0S,1
b a s t a r d o s,1
B A S T A R D O S,1
b-a-s-t-a-r-d-o-s,1
B-A-S-T-A-R-D-O-S,1
b.a.s.t.a.r.d.o.s,1
B.A.S.T.A.R.D.O.S,1
b_a_s_t_a_r_d_o_s,1
B_A_S_T_A_R_D_O_S,1
b4st4rd0s123,1
B4ST4RD0S123,1
b-a-s-t4r-d-o-s,1
B-A-S-T4R-D-O-S,1
b.a.s.t-4r.d.o.s,1
B.A.S.T-4R.D.O.S,1
b_a_s_t-4r_d_o_s,1
B_A_S_T-4R_D_O_S,1
perrito,1
PERRITO,1
Perrito,1
PERRA,1
Perra,1
perra,1
p*rr@,1
P*RR@,1
p@rr@,1
P@RR@,1
p!rr@,1
P!RR@,1
p*rr4,1
P*RR4,1
p3rr@,1
P3RR@,1
p3rr4,1
P3RR4,1
p e r r a,1
P E R R A,1
p-e-r-r-a,1
P-E-R-R-A,1
p.e.r.r.a,1
P.E.R.R.A,1
p_e_r_r_a,1
P_E_R_R_A,1
p3rr4,1
P3RR4,1
p@rr4,1
P@RR4,1
p!rr4,1
P!RR4,1
p3rr4,1
P3RR4,1
p3rr4_123,1
P3RR4_123,1
p-e-rr-a,1
P-E-RR-A,1
p.e.r-4,1
P.E.R-4,1
p_e_r-4,1
P_E_R-4,1
PERRAS,1
Perras,1
perras,1
p*rr@s,1
P*RR@S,1
p@rr@s,1
P@RR@S,1
p!rr@s,1
P!RR@S,1
p*rr4s,1
P*RR4S,1
p3rr@s,1
P3RR@S,1
p3rr4s,1
P3RR4S,1
p e r r a s,1
P E R R A S,1
p-e-r-r-a-s,1
P-E-R-R-A-S,1
p.e.r.r.a.s,1
P.E.R.R.A.S,1
p_e_r_r_a_s,1
P3RR4S,1
p3rr4s_123,1
P3RR4S_123,1
p-e-rr-a-s,1
P-E-RR-A-S,1
p.e.r-4s,1
P.E.R-4S,1
p_e_r-4s,1
P_E_R-4S,1
PERRO,1
Perro,1
perro,1
p*rr0,1
P*RR0,1
p@rr0,1
P@RR0,1
p!rr0,1
P!RR0,1
p*rr4,1
P*RR4,1
p3rr0,1
P3RR0,1
p3rr4,1
P3RR4,1
p e r r o,1
P E R R O,1
p-e-r-r-o,1
P-E-R-R-O,1
p.e.r.r.o,1
P.E.R.R.O,1
p_e_r_r_o,1
P_E_R_R_O,1
PERROS,1
Perros,1
perros,1
p*rr0s,1
P*RR0S,1
p@rr0s,1
P@RR0S,1
p!rr0s,1
P!RR0S,1
p*rr4s,1
P*RR4S,1
p3rr0s,1
P3RR0S,1
p3rr4s,1
P3RR4S,1
P3RR0S,1
p3rr0s_123,1
P3RR0S_123,1
p-e-rr-o-s,1
P-E-RR-O-S,1
p.e.r-0s,1
P.E.R-0S,1
p_e_r-0s,1
P_E_R-0S,1
PUTA,1
Puta,1
puta,1
p*ta,1
P*TA,1
p@ta,1
P@TA,1
p!ta,1
P!TA,1
p4ta,1
P4TA,1
pu74,1
PU74,1
p u t a,1
P U T A,1
p-u-t-a,1
P-U-T-A,1
p.u.t.a,1
P.U.T.A,1
p_u_t_a,1
P_U_T_A,1
PVTA,1
Pvta,1
Pta,1
PTA,1
pta,1
pvta,1
PTA,1
Pta,1
PUTAS,1
Putas,1
putas,1
p*tas,1
P*TAS,1
p@tas,1
P@TAS,1
p!tas,1
P!TAS,1
p4tas,1
P4TAS,1
pu7as,1
PU7AS,1
p u t a s,1
P U T A S,1
p-u-t-a-s,1
P-U-T-A-S,1
p.u.t.a.s,1
P.U.T.A.S,1
p_u_t_a_s,1
P_U_T_A_S,1
p*tos,1
P*TOS,1
p@tos,1
P@TOS,1
p!tos,1
P!TOS,1
p.u-t.0s,1
P.U-T.0S,1
p_u_t.0s,1
P_U_T.0S,1
p*tos123,1
P*TOS123,1
p@tos456,1
P@TOS456,1
p!tos789,1
P!TOS789,1
PUTITO,1
putito,1
put,1
pto,1
pvto,1
p1tsos,1
p.u-t.os,1
puto,1
PU70,1
DESCARADAS,1
descaradas,1
DESCARADA,1
descarada,1
Descaradas,1
Descarada,1
D3SC4R4D4,1
D3SC4R4D4S,1
d3$carada,1
d3$carad@s,1
d3sc@rada,1
d3sc@rad@s,1
d3scarad4,1
d3scarad@s,1
CAGONA,1
CAGONAS,1
cagona,1
cagonas,1
CaGoNa,1
CaGoNaS,1
cAgOnA,1
cAgOnAs,1
CaGoNá,1
CaGoNás,1
CAGONÁ,1
CAGONÁS,1
cagoná,1
cagonás,1
cAgOnÁ,1
cAgOnÁs,1
c4g0n4,1
c4g0n4s,1
c4g0n@,1
c4g0n@s,1
c4g0n4$,1
c4g0n4$s,1
c4g0n4,1
c4g0n4s,1
c4g0n4,1
c4g0n4s,1
CAGÓN,1
CAGONES,1
cagón,1
cagones,1
CaGón,1
CaGoNeS,1
cAgÓn,1
cAgOnEs,1
CaGÓN,1
CaGÓNes,1
cagón,1
cagónEs,1
cAgÓn,1
cAgÓnEs,1
c4g0n,1
c4g0nEs,1
c4g0n,1
c4g0nes,1
c4g0n$,1
c4g0n$s,1
c4g0n,1
c4g0nes,1
c4g0n0,1
c4g0n0s,1
c4g0n0$,1
c4g0n0$s,1
CAPULLA,1
CAPULLAS,1
capulla,1
capullas,1
CaPuLlA,1
CaPuLlAs,1
cApUlLaS,1
CaPuLlÁ,1
CaPuLlÁs,1
CAPULLÁ,1
CAPULLÁS,1
capullá,1
capullás,1
cApUlLá,1
cApUlLás,1
c4pUll4,1
c4pUll4s,1
c4pUll@,1
c4pUll@s,1
c4pUll4$,1
c4pUll4$s,1
c4pUll4,1
c4pUll4s,1
c4pUll4,1
c4pUll4s,1
MAMONA,1
MAMONAS,1
mamona,1
mamonas,1
MaMoNa,1
MaMoNaS,1
mAmOnA,1
mAmOnAs,1
MaMoNá,1
MaMoNás,1
MAMONÁ,1
MAMONÁS,1
mamoná,1
mamonás,1
mAmOnÁ,1
mAmOnÁs,1
m4m0n4,1
m4m0n4s,1
m4m0n@,1
m4m0n@s,1
m4m0n4$,1
m4m0n4$s,1
m4m0n4,1
m4m0n4s,1
MAMÓN,1
MAMONES,1
mamón,1
mamones,1
MaMón,1
MaMoNeS,1
mAmÓn,1
mAmOnEs,1
MaMÓN,1
MaMÓNes,1
mamón,1
mamónEs,1
mAmÓn,1
mAmÓnEs,1
m4m0n,1
m4m0nEs,1
m4m0n,1
m4m0nes,1
m4m0n$,1
m4m0n$s,1
m4m0n,1
m4m0nes,1
m4m0n0,1
m4m0n0s,1
m4m0n0$,1
m4m0n0$s,1
TARADA,1
TARADAS,1
tarada,1
taradas,1
TaRaDa,1
TaRaDaS,1
tArAdA,1
tArAdAs,1
TaRaDá,1
TaRaDás,1
TARADÁ,1
TARADÁS,1
taradá,1
taradás,1
tArAdÁ,1
tArAdÁs,1
t4r4d4,1
t4r4d4s,1
t4r4d@,1
t4r4d@s,1
t4r4d4$,1
t4r4d4$s,1
t4r4d4,1
t4r4d4s,1
TARADO,1
TARADOS,1
tarado,1
TaRaDoS,1
tArAdO,1
tArAdOs,1
TaRaDó,1
TaRaDós,1
TARADÓ,1
TARADÓS,1
taradó,1
taradós,1
tArAdÓ,1
tArAdÓs,1
t4r4d0,1
t4r4d0s,1
t4r4d0$,1
t4r4d0$s,1
t4r4d0,1
t4r4d0s,1
t4r4d0,1
t4r4d0s,1
PELOTUDA,1
PELOTUDAS,1
pelotuda,1
pelotudas,1
PeLoTuDa,1
PeLoTuDaS,1
pElOtUdA,1
pElOtUdAs,1
PeLoTuDá,1
PeLoTuDás,1
PELOTUDÁ,1
PELOTUDÁS,1
pelotudá,1
pelotudás,1
pElOtUdÁ,1
pElOtUdÁs,1
p3l0tud4,1
p3l0tud4s,1
p3l0tud@,1
p3l0tud@s,1
p3l0tud4$,1
p3l0tud4$s,1
p3l0tud4,1
p3l0tud4s,1
PELOTUDO,1
PELOTUDOS,1
pelotudo,1
pelotudos,1
PeLoTuDo,1
PeLoTuDoS,1
pElOtUdO,1
pElOtUdOs,1
PeLoTuDó,1
PeLoTuDós,1
PELOTUDÓ,1
PELOTUDÓS,1
pelotudó,1
pelotudós,1
pElOtUdÓ,1
pElOtUdÓs,1
p3l0tud0,1
p3l0tud0s,1
p3l0tud0$,1
p3l0tud0$s,1
p3l0tud0,1
p3l0tud0s,1
p3l0tud0,1
